longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,roomsxpop
-122.35,37.96,29,1899,524,1357,443,1.875,97200,NEAR BAY,1.3994104642593956
-119.98,38.96,25,2443,444,868,342,3.5417,114800,INLAND,2.814516129032258
-121.76,37.69,29,3433,711,1919,709,3.3841,184400,INLAND,1.788952579468473
-119.77,36.76,40,2009,519,2219,505,1.2101,49100,INLAND,0.9053627760252366
-119.75,36.78,33,1145,197,508,198,2.3333,81300,INLAND,2.2539370078740157
-122.19,37.74,36,847,212,567,159,1.1765,87100,NEAR BAY,1.4938271604938271
-119.28,37.11,34,1901,394,171,73,3.0729,144600,INLAND,11.116959064327485
-122.27,37.82,43,1007,312,558,253,1.7348,137500,NEAR BAY,1.8046594982078854
-119.85,36.82,9,3995,778,1691,712,3.3239,91300,INLAND,2.362507392075695
-119.59,36.64,27,823,171,798,200,3.0521,113800,INLAND,1.031328320802005
-122.17,37.73,43,1473,371,1231,341,2.1587,86500,NEAR BAY,1.1965881397238018
-122.02,37.6,36,1633,345,1382,338,3.694,159600,NEAR BAY,1.1816208393632417
-122.01,37.53,27,1890,303,889,314,5.7057,287600,NEAR BAY,2.125984251968504
-122.32,37.97,33,1595,292,991,300,4.6937,134100,NEAR BAY,1.6094853683148336
-119.54,36.52,16,2703,415,1106,372,4.2045,120900,INLAND,2.4439421338155514
-121.89,37.49,9,4909,577,1981,591,9.7194,500001,<1H OCEAN,2.4780413932357397
-122.28,37.84,52,729,160,395,155,1.6875,132000,NEAR BAY,1.8455696202531646
-122.04,37.55,23,3170,532,1446,515,4.4357,291700,NEAR BAY,2.1922544951590597
-122.21,37.79,47,1543,307,859,292,2.9583,138800,NEAR BAY,1.7962747380675204
-120.81,38.73,38,2005,385,882,353,2.5104,120500,INLAND,2.2732426303854876
-122.22,37.88,20,95,13,31,15,2.4444,475000,NEAR BAY,3.064516129032258
-121.97,37.97,26,1977,264,817,273,5.7512,240200,INLAND,2.419828641370869
-122.28,37.87,46,1777,446,805,431,2.8676,212000,NEAR BAY,2.207453416149068
-119.81,36.72,46,1414,268,902,243,1.5833,56700,INLAND,1.5676274944567627
